"code_commune_insee","nom_de_la_commune","code_postal","latitude","longitude"
"26254","PRADELLE","26340","44.61943418461165","5.282475256771201"
"26255","LES PRES","26310","44.53625648776982","5.578374522525362"
"26256","PROPIAC","26170","44.2749423765042","5.211336147619478"
"26257","PUYGIRON","26160","44.54094683080305","4.851858318815324"
"26258","PUY ST MARTIN","26450","44.627147548372776","4.972952799436712"
"26259","RATIERES","26330","45.17254794735163","4.96443910297927"
"26261","REAUVILLE","26230","44.446368019220465","4.837840883318579"
"26262","RECOUBEAU JANSAC","26310","44.65083016987667","5.402742798478777"
"26263","REILHANETTE","26570","44.17507171616275","5.408488832502624"
"26264","REMUZAT","26510","44.404835958778506","5.356446718631565"
"26266","RIMON ET SAVEL","26340","44.667872619810495","5.315670545739268"
"26267","RIOMS","26170","44.269183111451056","5.464157088924417"
"26268","ROCHEBAUDIN","26160","44.57421604409054","5.028495144063624"
"26269","ROCHEBRUNE","26110","44.327235312830126","5.237851510513844"
"26270","ROCHECHINARD","26190","45.025269724357734","5.245836109170138"
"26271","LA ROCHE DE GLUN","26600","45.01137324134198","4.859273354886508"
"26272","ROCHEFORT EN VALDAINE","26160","44.511413175700525","4.857530173402613"
"26273","ROCHEFORT SAMSON","26300","44.97471108054302","5.167763273811466"
"26274","ROCHEFOURCHAT","26340","44.59816361929309","5.24225905270308"
"26275","ROCHEGUDE","26790","44.25328944813296","4.841813945661948"
"26276","ROCHE ST SECRET BECONNE","26770","44.47708877570365","5.0429443149315345"
"26277","LA ROCHE SUR GRANE","26400","44.675477111072425","4.936514867498289"
"26278","LA ROCHE SUR LE BUIS","26170","44.25857439919803","5.3396429868595705"
"26279","LA ROCHETTE DU BUIS","26170","44.26035000635858","5.420565035695745"
"26281","ROMANS SUR ISERE","26100","45.0611409201432","5.047747847104079"
"26282","ROMEYER","26150","44.79058199407385","5.439082106998995"
"26283","ROTTIER","26470","44.48036505808999","5.416112544535746"
"26284","ROUSSAS","26230","44.440986683899766","4.786029832669379"
"26285","ROUSSET LES VIGNES","26770","44.42725160524135","5.062510640294335"
"26286","ROUSSIEUX","26510","44.3311826461763","5.479301242953172"
"26287","ROYNAC","26450","44.64927429560188","4.937990340381744"
"26288","SAHUNE","26510","44.40572820377771","5.273138191126193"
"26289","SAILLANS","26340","44.72083775902191","5.188277107796698"
"26290","ST AGNAN EN VERCORS","26420","44.89899205297165","5.438955028393632"
"26291","ST ANDEOL","26150","44.810911652518286","5.263781653264074"
"26292","ST AUBAN SUR L OUVEZE","26170","44.29605204814462","5.430618713213854"
"26293","ST AVIT","26330","45.19867114474977","4.968348952623526"
"26294","ST BARDOUX","26260","45.08291348102564","4.984284493406342"
"26295","ST BARTHELEMY DE VALS","26240","45.16072458010461","4.8705718487117355"
"26296","ST BENOIT EN DIOIS","26340","44.65534618024783","5.267047350304054"
"26298","ST CHRISTOPHE ET LE LARIS","26350","45.216389771984126","5.069931283100397"
"26299","STE CROIX","26150","44.76956647771621","5.2814910454702915"
"26300","ST DIZIER EN DIOIS","26310","44.513297016304975","5.484715242572575"
"26301","ST DONAT SUR L HERBASSE","26260","45.13110799643453","4.985752006850458"
"26302","STE EULALIE EN ROYANS","26190","45.042633900347","5.343857891530373"
"26303","STE EUPHEMIE SUR OUVEZE","26170","44.29839594747623","5.391755741554114"
"26304","ST FERREOL TRENTE PAS","26110","44.44250181365008","5.22564533328579"
"26305","ST GERVAIS SUR ROUBION","26160","44.584549072710985","4.894263376301334"
